Year,Event,Name,NOC,Awarded_Medal
2028,10m Air Pistol Men,Christian Reitz,Germany,Gold
2028,10m Air Pistol Men,Damir Mikec,Serbia,Silver
2028,10m Air Pistol Men,Yu Xie,China,Bronze
2028,10m Air Pistol Mixed Team,Christian Reitz,Germany,Gold
2028,10m Air Pistol Mixed Team,Olena Kostevych,Ukraine,Silver
2028,10m Air Pistol Mixed Team,Ranxin Jiang,China,Bronze
2028,10m Air Pistol Women,Olena Kostevych,Ukraine,Gold
2028,10m Air Pistol Women,Ranxin Jiang,China,Silver
2028,10m Air Pistol Women,Anna Korakaki,Greece,Bronze
2028,10m Air Rifle Men,Lihao Sheng,China,Gold
2028,10m Air Rifle Men,Serhiy Kulish,Ukraine,Silver
2028,10m Air Rifle Men,Dane Sampson,Australia,Bronze
2028,10m Air Rifle Mixed Team,Lihao Sheng,China,Gold
2028,10m Air Rifle Mixed Team,Yuting Huang,China,Silver
2028,10m Air Rifle Mixed Team,Hyojin Ban,South Korea,Bronze
2028,10m Air Rifle Women,Yuting Huang,China,Gold
2028,10m Air Rifle Women,Nina Christen,Switzerland,Silver
2028,10m Air Rifle Women,Hyojin Ban,South Korea,Bronze
2028,25m Pistol Women,Olena Kostevych,Ukraine,Gold
2028,25m Pistol Women,Anna Korakaki,Greece,Silver
2028,25m Pistol Women,Jiin Yang,South Korea,Bronze
2028,25m Rapid Fire Pistol Men,Christian Reitz,Germany,Gold
2028,25m Rapid Fire Pistol Men,Jean Quiquampoix,France,Silver
2028,25m Rapid Fire Pistol Men,Yuehong Li,China,Bronze
2028,4 x 400m Relay Mixed,Robert King,Dominican Republic,Gold
2028,4 x 400m Relay Mixed,Bryce Deadmon,United States,Silver
2028,4 x 400m Relay Mixed,Vernon Norwood,United States,Bronze
2028,50m Rifle 3 Positions Men,Serhiy Kulish,Ukraine,Gold
2028,50m Rifle 3 Positions Men,Yukun Liu,China,Silver
2028,50m Rifle 3 Positions Men,Hajun Park,South Korea,Bronze
2028,50m Rifle 3 Positions Women,Nina Christen,Switzerland,Gold
2028,50m Rifle 3 Positions Women,Sagen Maddalena,United States,Silver
2028,50m Rifle 3 Positions Women,Carolynn Tucker,United States,Bronze
2028,Dressage Individual,von Jessica,Germany,Gold
2028,Dressage Individual,Carl Hester,Great Britain,Silver
2028,Dressage Individual,Isabell Werth,Germany,Bronze
2028,Dressage Team,von Jessica,Germany,Gold
2028,Dressage Team,Carl Hester,Great Britain,Silver
2028,Dressage Team,Isabell Werth,Germany,Bronze
2028,Duet,Qianyi Wang,China,Gold
2028,Duet,Liuyi Wang,China,Silver
2028,Duet,Jaime Czarkowski,United States,Bronze
2028,Eventing Individual,Michael Jung,Germany,Gold
2028,Eventing Individual,Nicolas Touzaint,France,Silver
2028,Eventing Individual,McEWEN Tom,Great Britain,Bronze
2028,Eventing Team,Michael Jung,Germany,Gold
2028,Eventing Team,Nicolas Touzaint,France,Silver
2028,Eventing Team,McEWEN Tom,Great Britain,Bronze
2028,Group All-Around,Zhangjiayang Huang,China,Gold
2028,Group All-Around,Ting Hao,China,Silver
2028,Group All-Around,Qiqi Guo,China,Bronze
2028,Individual All-Around,Darja Varfolomeev,Germany,Gold
2028,Individual All-Around,Boryana Kaleyn,Bulgaria,Silver
2028,Individual All-Around,Evita Griskenas,United States,Bronze
2028,Jumping Individual,Daniel Coyle,Ireland,Gold
2028,Jumping Individual,Rodrigo Pessoa,Brazil,Silver
2028,Jumping Individual,Scott Brash,Great Britain,Bronze
2028,Jumping Team,Daniel Coyle,Ireland,Gold
2028,Jumping Team,Rodrigo Pessoa,Brazil,Silver
2028,Jumping Team,Malin Baryard-johnsson,Sweden,Bronze
2028,Lightweight Men's Double Sculls,Mc Fintan,Ireland,Gold
2028,Lightweight Men's Double Sculls,Mohamed Mohamed,Egypt,Silver
2028,Lightweight Men's Double Sculls,Stefano Oppo,Italy,Bronze
2028,Lightweight Women's Double Sculls,Imogen Grant,Great Britain,Gold
2028,Lightweight Women's Double Sculls,Emily Craig,Great Britain,Silver
2028,Lightweight Women's Double Sculls,Laura Tarantola,France,Bronze
