Year,Event,Name,NOC,Awarded_Medal
2024,10m Air Pistol Men,James Hall,United States,Gold
2024,10m Air Pistol Men,Damir Mikec,Serbia,Silver
2024,10m Air Pistol Men,Christian Reitz,Germany,Bronze
2024,10m Air Pistol Mixed Team,James Hall,United States,Gold
2024,10m Air Pistol Mixed Team,Vitalina Batsarashkina,ROC,Silver
2024,10m Air Pistol Mixed Team,Olena Kostevych,Ukraine,Bronze
2024,10m Air Pistol Women,Vitalina Batsarashkina,ROC,Gold
2024,10m Air Pistol Women,Olena Kostevych,Ukraine,Silver
2024,10m Air Pistol Women,Ranxin Jiang,China,Bronze
2024,10m Air Rifle Men,Lihao Sheng,China,Gold
2024,10m Air Rifle Men,Serhiy Kulish,Ukraine,Silver
2024,10m Air Rifle Men,Haoran Yang,China,Bronze
2024,10m Air Rifle Mixed Team,Lihao Sheng,China,Gold
2024,10m Air Rifle Mixed Team,Qian Yang,China,Silver
2024,10m Air Rifle Mixed Team,Haoran Yang,China,Bronze
2024,10m Air Rifle Women,Qian Yang,China,Gold
2024,10m Air Rifle Women,Nina Christen,Switzerland,Silver
2024,10m Air Rifle Women,Carolynn Tucker,United States,Bronze
2024,25m Pistol Women,Vitalina Batsarashkina,ROC,Gold
2024,25m Pistol Women,Olena Kostevych,Ukraine,Silver
2024,25m Pistol Women,Anna Korakaki,Greece,Bronze
2024,25m Rapid Fire Pistol Men,Christian Reitz,Germany,Gold
2024,25m Rapid Fire Pistol Men,Jean Quiquampoix,France,Silver
2024,25m Rapid Fire Pistol Men,Yuehong Li,China,Bronze
2024,4 x 400m Relay Mixed,Matthew Hudson-smith,Great Britain,Gold
2024,4 x 400m Relay Mixed,Shae Anderson,United States,Silver
2024,4 x 400m Relay Mixed,Wilbert London,United States,Bronze
2024,4 x 400m Relay Mixed Team,Vernon Norwood,United States,Gold
2024,4 x 400m Relay Mixed Team,Bryce Deadmon,United States,Silver
2024,4 x 400m Relay Mixed Team,Kendall Ellis,United States,Bronze
2024,50m Rifle 3 Positions Men,Serhiy Kulish,Ukraine,Gold
2024,50m Rifle 3 Positions Men,Changhong Zhang,China,Silver
2024,50m Rifle 3 Positions Men,Sergey Kamenskiy,ROC,Bronze
2024,50m Rifle 3 Positions Women,Nina Christen,Switzerland,Gold
2024,50m Rifle 3 Positions Women,Sagen Maddalena,United States,Silver
2024,50m Rifle 3 Positions Women,Carolynn Tucker,United States,Bronze
2024,Baseball Team,David Robertson,United States,Gold
2024,Baseball Team,Carlos Bustamante,Mexico,Silver
2024,Baseball Team,Fernando Salas,Mexico,Bronze
2024,Dressage Individual,Charlotte Dujardin,Great Britain,Gold
2024,Dressage Individual,Carl Hester,Great Britain,Silver
2024,Dressage Individual,von Jessica,Germany,Bronze
2024,Dressage Team,Charlotte Dujardin,Great Britain,Gold
2024,Dressage Team,Carl Hester,Great Britain,Silver
2024,Dressage Team,von Jessica,Germany,Bronze
2024,Duet Team,Svetlana Romashina,ROC,Gold
2024,Duet Team,Svetlana Kolesnichenko,ROC,Silver
2024,Duet Team,Xuechen Huang,China,Bronze
2024,Eventing Individual,Andrew Hoy,Australia,Gold
2024,Eventing Individual,Michael Jung,Germany,Silver
2024,Eventing Individual,Stuart Tinney,Australia,Bronze
2024,Eventing Team,Andrew Hoy,Australia,Gold
2024,Eventing Team,Michael Jung,Germany,Silver
2024,Eventing Team,Stuart Tinney,Australia,Bronze
2024,Group All-Around Team,Qiqi Guo,China,Gold
2024,Group All-Around Team,Ting Hao,China,Silver
2024,Group All-Around Team,Zhangjiayang Huang,China,Bronze
2024,Individual All-Around,Linoy Ashram,Israel,Gold
2024,Individual All-Around,Dina Averina,ROC,Silver
2024,Individual All-Around,Boryana Kaleyn,Bulgaria,Bronze
2024,Jumping Individual,Malin Baryard-johnsson,Sweden,Gold
2024,Jumping Individual,Steve Guerdat,Switzerland,Silver
2024,Jumping Individual,Scott Brash,Great Britain,Bronze
2024,Jumping Team,Malin Baryard-johnsson,Sweden,Gold
2024,Jumping Team,Steve Guerdat,Switzerland,Silver
2024,Jumping Team,Scott Brash,Great Britain,Bronze
2024,Lightweight Men's Double Sculls Team,Jerzy Kowalski,Poland,Gold
